freshBlood,hotStreak,inactive,leaguePoints,losses,playerOrTeamId,playerOrTeamName,rank,veteran,wins,accountId,id
True,True,False,0,785,51480838,카쿠누미,I,False,848,208306070,51480838
True,False,False,62,495,52081621,초밥에맥주한잔,I,False,565,208436226,52081621
True,True,False,12,536,20330532,SKT T1 뿡만두,I,False,580,202575872,20330532
True,False,False,0,395,9093672,액션이,I,False,426,6286773,9093672
True,False,False,0,366,4630469,강희엄마반찬안해,I,False,398,3632481,4630469
True,False,False,0,169,17881137,Iing Iing,I,False,251,201599124,17881137
False,False,False,299,214,11151197,IgNar,I,False,296,7859270,11151197
True,False,False,99,357,54811204,IGS Nuguri,I,False,457,208660746,54811204
False,False,False,30,366,17400456,스무살 강희,I,False,406,201364900,17400456
False,False,False,239,157,32075678,Here we go,I,False,202,205480506,32075678
True,True,False,86,336,11312877,Zhou kai,I,False,433,200050008,11312877
True,False,False,0,123,24690438,농부1,I,False,187,203735788,24690438
False,False,False,85,462,4675528,sup xiangdazhiye,I,False,559,3752918,4675528
False,True,False,299,759,2759646,승 로,I,False,880,2136898,2759646
False,True,False,222,672,7160212,잘해주지못해,I,False,718,5046059,7160212
True,False,False,0,579,36060228,Greenday,I,False,617,206101124,36060228
True,False,False,5,513,55860557,슬픈 눈,I,False,586,208917246,55860557
True,False,False,75,119,2434054,Saal,I,False,199,1783885,2434054
False,False,False,16,117,27991405,수빈이만봄,I,False,205,204326691,27991405
True,True,False,0,222,23660983,인정쓰,I,False,262,203359828,23660983
False,False,False,229,278,23542834,우로할,I,False,321,202567851,23542834
True,False,False,133,303,59870943,TK biubiu,I,False,390,209306798,59870943
True,True,False,0,52,35950366,실 력,I,False,144,206051565,35950366
True,False,False,0,420,9680209,나를 모르길 바래,I,False,465,6655923,9680209
True,True,False,0,232,54910179,비철단도,I,False,297,208627998,54910179
True,False,False,0,180,57130781,9731248650905247,I,False,245,209106299,57130781
False,False,False,3,923,50830223,mianma,I,False,964,208168133,50830223
False,False,False,78,348,1447722,16supz,I,False,417,1073266,1447722
True,False,False,0,1029,2401825,ebuC,I,False,1060,1755389,2401825
